region,title,period,description,host_info
부산,연제고분판타지축제,"10.15~10.17
(3일간)
(예정)"," ○ 1500년전 거칠산국 역사체험
 ○ 연산동 고분군 및 배산성지 홍보관 운영
 ○ 문화재 탐방, 전통놀이 체험프로그램 운영
 ○ 독후감상화 그리기대회, 백일장, 공연 등 부대행사
 ○ 연산동 고분군 발굴과 관련 공부체험 콘텐츠 접목행사","연제구 문화체육과
/ 연제구축제추진위원회
(051-665-4062)"
부산,영도다리축제,"10월중
(3일간)","○ 영도다리퍼레이드, 해상멀티미디어쇼
○ 영도다리, 해양문화 관련 전시 및 체험
○ 개막주제공연 및 문화공연(영도트롯가왕, 영˚핵인싸 등) 
○ 영도투어프로그램, 해양클러스터기관 체험행사, 
    영도커피페스티벌, 지역대학 페스타","영도구 문화관광과/영도문화원
(051-419-4064)"
부산,전포커피축제,"10월
(3일간)","○ 커피를 주 테마로 하되 전포카페거리, 전리단길, 전포사잇길 포함한 전포동 일대 전체 확대
○ 커피·디저트·음식 부스 운영, 커피 관련 체험 행사, 아트프리마켓과 함께 운영
○ 개막식, 퍼레이드, 버스킹, 거리 전시 등 다양한 공연, 노천 카페 및 테마 카페 운영","부산진구 관광과 
(051-605-4525)
/ 전포카페거리,전리단길, 전포사잇길 상인회"
부산,서면메디컬스트리트 축제,"10월
(2일간)"," ○ 의료상담 및 의료체험 프로그램 운영, 비즈니스 미팅 ",부산진구청/ (사)서면메디컬스트리트 의료관광협의회                       (051-605-6022)
부산,다대포어항문화축제,"10월 중
(2일 간)"," ○ 다대포 후리소리 공연, 풍어기원 풍물공연 등"," 다대포어항문화축제추진위원회 / 부산시수협 다대어촌계
(051-263-1277) "
부산,"제11회 감천문화마을 
골목축제",10월경,"○핵심프로그램 : 감천집 등 밝히기
○주요프로그램 : 골목, 마을이야기를 주제로 다양한 
                          공연, 체험, 전시 프로그램 운영
○개막 공연 및 문화, 예술, 체험행사 40여개 진행"," 부산광역시 사하구
/ (사)감천문화마을 주민협의회
(051-220-5925) "
부산,부산자갈치축제,"10.7~10.10
(4일간)","○ 개막식, 거리퍼레이드 등 4개마당 30여개 프로그램","(사)부산자갈치문화관광축제위원회
(051-243-9363)"
부산,"보수동책방골목
문화축제","10.16.-10.17
(2일간)","○ 개막식, 1가게1이벤트, 전시회, 심포지엄, 버스킹 등","보수동책방골목번영회
(051-254-7119)"
부산,제26회 동래읍성역사축제,"10.8.~10.10.
(3일간)"," ○ 핵심프로그램 : 동래성 전투 뮤지컬
 ○ 동래부사행차 길놀이, 동래 세가닥 줄다리기 등 전통 
     프로그램 운영
 ○ 개·폐막 공연, 주제공연 및 문화공연 등
    - 4개 분야 50여개 프로그램
 ○ 기타 주민자치 발표회 및 전시 등","부산광역시 동래구 문화관광과
/ 동래문화원, 
동래읍성역사추진위원회
(051-550-4092)"
부산,UN평화축제,"10월 중 (미정)
※코로나상황에따란 개최기간 변동"," ○ 평화음악회(미디어 파사드 등)
 ○ 평화를 테마로한 공연, 전시, 체험프로그램 운영
    -개폐막 공연,플리마켓, 평화사진전, 체험부스 등 
 ○ 기타 특별공연(버스킹, 플래시몹), 피크닉존 등 운영","부산광역시 남구 문화관광체육과
(051-607-4062)"
부산,제13회 부산고등어축제,"10.22~10.24
(3일간)"," ○ 대표프로그램 - 공동어시장 현장체험
 ○ 고등어를 테마로 한 체험, 투어, 전시, 공연, 경연 프로
     그램 운영(5개 분야 25개 프로그램) 
 ○ 특별행사(남항대교 걷기대회, 문예창작경연대회 등) 
     2개 프로그램 운영
 ○ 부대행사(먹거리장터, 수산기업홍보관 등) 운영","부산광역시 서구 문화관광과,
대형선망수협 / 부산서구문화원
(051-240-4062)"
부산,철마한우불고기축제,"10월 중
(4일간)"," ○ 대형 한우 육회비빔밥 만들기 등 체험 프로그램
 ○ 개폐막 공연, 주제공연 및 문화공연 및 전시 등","기장군 친환경농업과/
철마한우불고기축제추진위원회
(051-721-4245)"
부산,차성문화제,"10월중
(3일간)","○ 개막식, 길놀이, 축하공연, 체험행사, 부대행사 등","기장군 문화관광과/
차성문화제추진위원회
(051-709-4062)"
부산,정관 생태하천 학습문화축제,"10월중
(2일간)","○ 학습문화를 테마로 한 공연, 전시, 체험 프로그램 운영
○ 생태공예체험, 가족걷기대회, 농특산물 직거래 장터 등
○ 정관 생태문예제(백일장, 사생대회, 시낭송대회)
○ 청소년 어울림 한마당, 기장군 청소년 가요제
○ 정관 문화 프린지 공연, 정관생태하천학습문 콘서트
○ 과학 및 영어 체험학습, 정관 나눔 프리마켓, 복지박람회 등 부대행사","기장군 인재양성과/
정관생태하천학습문화
      축제 추진위원회
      (051-709-4332)"
부산,부산어묵축제,"11.26. ~ 11.28
(3일간)",  ○ 부산어묵 판매 및 홍보," 부산어육제품공업협동조합
 / 부산어묵축제추진위원회
(051-266-7002) "
부산,"부산크리스마스트리
문화축제",11월말~'22.1월초(37일간),"○ 개막점등식, 거리 트리장식, 문화공연, 폐막소등식 등","(사)부산기독교총연합회 
부산크리스마스트리문화축제조직위원회
(051-243-3927)"
부산,해운대 빛축제,21.11월~22.2월경,"○ 해운대해수욕장 및 해운대광장 빛 시설물 조성
○ 다양한 포토존 설치
○ 다양한 문화축제의 장 등","부산광역시 해운대구/
부산광역시 해운대구
(051-749-4062)"
부산,서면 빛 축제,2021. 12월~2022. 1월,"○ 일루미네이션, 조명 조형물 설치 및 운영
○ 점등식 및 점등이벤트 운영
○ 문화예술공연 등 다양한 퍼포먼스 운영","부산진구 관광과 
(051-605-4522)"
부산,가덕도대구축제,12월 중(2일간),"○ 대구 맨손잡기
○ 대구 깜짝경매
○ 수산물 직거래장터
○ 노래자랑대회
○ 맨손 굴까기대회
○ 초대가수 공연 등","가덕도대구축제추진위원회
/가덕도대구축제추진위원회"
부산,해운대 카운트다운&해맞이축제,"21.12.31.
~22.1.1.
(2일간)","○ 카운트다운 행사, 해맞이 행사
○ 체험행사 프로그램, 포토존 설치","부산광역시 해운대구/
부산광역시 해운대구
(051-749-4062)"
